fun	type	Afr	Amh	Grc	Ara	Eus	Bul	Cat	Chi	Hrv	Cze	Dan	Dut	Gus	Eng	Est	Fin	Fre	Ger	Gre	Heb	Hin	Hun	Ice	Ina	Ita	Jpn	Kam	Kor	Lat	Lav	Lit	May	Mlt	Mon	Nep	Nor	Nno	Pes	Pol	Por	Pnb	Ron	Cgg	Rus	Snd	Slo	Slv	Som	Spa	Swa	Swe	Tam	Tel	Tha	Tur	Ukr	Urd	Zul
pot111	Sub100	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot1as2	Sub100 -> Sub1000	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot1plus	Digit -> Sub10 -> Sub100	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot1to19	Digit -> Sub100	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot2	Sub10 -> Sub1000	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot21	Sub1000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot2as3	Sub1000 -> Sub1000000	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot2plus	Sub10 -> Sub100 -> Sub1000	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot3	Sub1000 -> Sub1000000	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot31	Sub1000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot3as4	Sub1000000 -> Sub1000000000	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	+	+	-	-	-	-	+	-	-	+	-	+	-	-	+	-	-	-	-	-	+	+	-	+	-	+	-	+	+	+	+	+	+	-	+	+	+	-	-	+
pot3float	Float -> Sub1000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+
pot3plus	Sub1000 -> Sub1000 -> Sub1000000	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
pot4	Sub1000 -> Sub1000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot41	Sub1000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot4as5	Sub1000000000 -> Sub1000000000000	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	+	+	-	-	-	-	+	-	-	+	-	+	-	-	+	-	-	-	-	-	+	+	-	+	-	+	-	+	+	+	+	+	+	-	+	+	+	-	-	+
pot4float	Float -> Sub1000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot4plus	Sub1000 -> Sub1000000 -> Sub1000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot5	Sub1000 -> Sub1000000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot51	Sub1000000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot5float	Float -> Sub1000000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
pot5plus	Sub1000 -> Sub1000000000 -> Sub1000000000000	-	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	+
quite_Adv	AdA	+	-	-	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
she_Pron	Pron	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
so_AdA	AdA	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
somePl_Det	Det	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+
someSg_Det	Det	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
somebody_NP	NP	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	+	-	+	+	+	-	+	+
something_NP	NP	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	-	+	+	+	-	+	+
somewhere_Adv	Adv	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	+	+	+
that_Quant	Quant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
that_Subj	Subj	+	-	+	+	+	+	+	+	-	-	-	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	-	+	+	+	+	-	-	+	-	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
there7from_Adv	Adv	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
there7to_Adv	Adv	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
there_Adv	Adv	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
therefore_PConj	PConj	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
they_Pron	Pron	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
this_Quant	Quant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
through_Prep	Prep	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	-	-	+	+
to_Prep	Prep	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
too_AdA	AdA	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
under_Prep	Prep	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
very_AdA	AdA	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	+	-	+	+
want_VV	VV	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
we_Pron	Pron	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
whatPl_IP	IP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
whatSg_IP	IP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
when_IAdv	IAdv	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	+	-	+	+
when_Subj	Subj	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	+	-	+	+
where_IAdv	IAdv	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+
which_IQuant	IQuant	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
whoPl_IP	IP	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
whoSg_IP	IP	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
why_IAdv	IAdv	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+
with_Prep	Prep	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
without_Prep	Prep	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	+	-	+	+
yes_Utt	Utt	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
youPl_Pron	Pron	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
youPol_Pron	Pron	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+
youSg_Pron	Pron	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
